image,label_group,label
0000a68812bc7e98c42888dfb1c07da0.jpg,249114794,604
00039780dfc94d01db8676fe789ecd05.jpg,2937985045,6799
000a190fdd715a2a36faed16e2c65df7.jpg,2395904891,5532
00117e4fc239b1b641ff08340b429633.jpg,4093212188,9463
00136d1cf4edede0203f32f05f660588.jpg,3648931069,8484
0013e7355ffc5ff8fb1ccad3e42d92fe.jpg,2660605217,6144
00144a49c56599d45354a1c28104c039.jpg,1835033137,4187
0014f61389cbaa687a58e38a97b6383d.jpg,1565741687,3551
0019a3c6755a194cb2e2c12bfc63972e.jpg,2359912463,5444
001be52b2beec40ddc1d2d7fc7a68f08.jpg,2630990665,6069
001d7f5d9a2fac714f4d5f37b3baffb4.jpg,2462407944,5690
001e11145b8e9bf5ac51110c0fdd8697.jpg,509010932,1181
001f4c8331d0554d133b10d85b7fafb2.jpg,4206465630,9717
002039aaf8618627a0442d5e89e5dda6.jpg,349297863,814
0027aaf8dd8bdbf0e4f2c19024e436cf.jpg,1574620312,3574
00286d2760e433a8a01cbd9e056144f7.jpg,2353399596,5429
002f978c58a44a00aadfca71c3cad2bb.jpg,3415582503,7909
00303ad1c062fdeaf5f41b9ffb71a5fb.jpg,2098400894,4812
00324695e37299a00b955674d984592b.jpg,3624674138,8426
003524b70715bf6bfa00451ca08e66e0.jpg,531768918,1228
0035b8fc42955c0fa2301b68e2ffe861.jpg,4240123481,9783
00369839c7d94411e54437b7cf59b603.jpg,2224428568,5134
003906c6c6bba4cde15e5e854dba8f6d.jpg,4044205497,9353
003a6fbbdf88f0f60dc074458911f01e.jpg,404551210,942
003c7129aef72ad3ae8af64eac5bfd29.jpg,2034299767,4638
004076b57135e761ab8b41d84acc4c94.jpg,2933791615,6782
004811219262c545d74e427c5ea2d724.jpg,894203507,2081
004822e4ab7dd38455a134fb2f2dd05e.jpg,2464977091,5693
004e512a55c80c07ae0684c58f5fcfd9.jpg,4266903097,9839
004ede0e328d05780813f853857463f1.jpg,3578753118,8318
004ee5243d3dc2ae78cd8a1ec8369156.jpg,3912088353,9061
0052b0b2e8233836f2875a14a9808b92.jpg,1632207687,3703
005742b269e0ea4b352235b084e88eb4.jpg,2653016647,6126
0059bcdf255a1b95feed3a2799fc2696.jpg,3328069909,7725
005a507afe7092537e4c6243c4e0d790.jpg,3816307840,8857
005bb468c673fb7f70319c120fb7106b.jpg,983229802,2293
0060be82f37ed53560e033dd1973d547.jpg,1149464099,2681
0061fff53b6eba569fb383da29fdcb47.jpg,98592019,239
0062b7c015f3c821725dcf2087e81551.jpg,944796571,2201
0062ecb6613287fde4d3a6542e2d8bc7.jpg,960169860,2244
0065dd4c4dacac6b41c11079dd1e0da9.jpg,1039178864,2422
006860e5c85173a4949a924ddcb5127a.jpg,1990957212,4542
006f6bc53dc5696a5514fc4ba00b6c49.jpg,1529085103,3485
007084f5652dbddedb3ab371c209cd25.jpg,3635513698,8453
0075a4ad758adeda9c264e64fd1d2878.jpg,1264841825,2922
007847916882fe2583b24428e8d68a9e.jpg,1851836169,4223
007be583a5a4edc3fc54b0779e141a9f.jpg,1141798720,2664
007d0a0225c599d9a68012d8e1aa4f92.jpg,2831184769,6539
007d97e52d6da9ed8fc0eeb8cf4aab84.jpg,371502910,857
007df656de4068984084848f9316e835.jpg,1370343912,3140
007ed1560a37f2fc76297ed06af5c4a5.jpg,2217827677,5109
007fc7acc773e85d7592f377556fcf73.jpg,2964440663,6870
007fca8ce9a042f9e1656ce8f96ba19d.jpg,1356633425,3114
0082c9c530852846a5f970ca1b8dc334.jpg,215542278,508
00844c7713155dcc12a657b7d4691117.jpg,1199602251,2786
0087a5465491291911cdbb56debd5253.jpg,196929574,458
008a7e4f77c10f36ace0314cff98ba09.jpg,3489985175,8102
008ac00ee5ef28d2c1cd19fe08b016e3.jpg,1561749110,3545
008b51588806c7649b8d9f359ecd352f.jpg,3580263851,8323
008f8aac1d118f0b318b918aa783e9ed.jpg,1702111919,3890
00957d8d80d5f5fc56e81dad56ee033b.jpg,791476097,1826
00974314c83c8ffcc3c584dc8011bb3f.jpg,2272723710,5246
0097a3d7a30fe0079d5f9181f710bd8e.jpg,3798328212,8817
009806730ca9c18b829239c9915d898f.jpg,358422381,835
009d89f1323ec58521af3fb2aaa4ea5e.jpg,151221854,349
00a56fef82c06a746b24237f66f4c6de.jpg,1115565398,2598
00a5b7d85f39222ad75b0d69886a6b58.jpg,4115604501,9521
00a798efae9db3d6d5324daebfea2652.jpg,3489985175,8102
00a85688de263b6d315d11e1223e15aa.jpg,1230151539,2857
00a866b5d5db175b782db8c01a8e178a.jpg,981370797,2289
00a8d112066ea78e33d5ef987091a6b4.jpg,1896239564,4323
00b116ee1a2f59352756dceddf542943.jpg,802602048,1856
00b2375ec81ee1a5c739a62acc74f216.jpg,2669812524,6167
00b28182dd5b6f4615d92bd0a6d31810.jpg,3362589702,7803
00b558da33ffb34b620b0b5e79420c23.jpg,4141124289,9581
00b5bc701453b04717230b1a5f253a14.jpg,1065718333,2483
00b84a9606509d5e0901bdb6e150fe69.jpg,3580263851,8323
00b9f86046a30f68841671d510077cc6.jpg,1141798720,2664
00bcc4e47b0469389105b7ffc143be52.jpg,1341974351,3084
00be00018abbee3650a340d68a5eb5b0.jpg,1888280668,4299
00be15de5ebf1c990320e35a0a07cf68.jpg,3299126623,7658
00bf22807120bb5d2ffd4c1306622c0c.jpg,2410340130,5581
00c0bf2f89a9b2fe6a16935dc4d284ef.jpg,3113555311,7230
00c16e711348ef90d6929bbea5e029e1.jpg,3381497963,7844
00c22ed25816814caa9c434c92d81172.jpg,2702435837,6247
00c982e628bbc4dfed595fa941a920d5.jpg,813474569,1885
00ca272935530e43f8574b3ef967cddb.jpg,1117850194,2604
